"","Signature_1","Signature_100","Signature_13","Signature_17b","Signature_18","Signature_2","Signature_28","Signature_3","Signature_31","Signature_34","Signature_40","Signature_5","Signature_8","df.extra"
"TCGA.AX.A064",40.0247126332662,NA,377.891588207827,NA,477.305662895262,194.077364669196,NA,5.65333141951475,NA,NA,599.230867953201,2032.14225591597,557.438044412122,5.65333141951475
"TCGA.QS.A5YR",182.52154737388,NA,NA,NA,661.257817920927,NA,NA,584.544654521183,NA,NA,218.287446860264,1772.07087380087,118.030356069039,584.544654521183
"TCGA.BG.A18C",224.74442310733,NA,806.348267673949,NA,34.5997824593787,837.283863441737,NA,141.210299909178,NA,NA,315.364114876733,2713.47236244975,310.710701103515,141.210299909178
"TCGA.BG.A0LW",263.182181860326,NA,NA,NA,534.747976725185,594.05282647471,386.565444031574,NA,NA,2270.39799453673,10560.8329345241,1173.93955681922,3201.51464670905,0
"TCGA.AJ.A3QS",227.520339538544,61.2922858865706,NA,NA,579.253996044581,NA,NA,NA,NA,NA,930.032828993297,2146.09249388557,825.192992320771,0
"TCGA.AJ.A8CT",93.0023479587763,41.4868739080302,NA,NA,549.312752554118,2.25873138676717,NA,NA,NA,NA,627.990260064588,1849.34329142663,543.506412668905,0
"TCGA.BG.A0VX",47.1615997103583,37.0058994666137,NA,NA,32.5987755714095,NA,13.3454545585734,390.349884171464,NA,NA,238.990452087877,1239.85752450552,130.772112839496,390.349884171464
"TCGA.AX.A2HK",119.838069159909,NA,157.85989471551,NA,183.488512907262,179.606851871318,NA,1050.1056096769,NA,53.0958781298381,NA,2772.43187025542,269.645495897608,1050.1056096769
"TCGA.A5.A0GA",41.701042508498,7.71951062478011,NA,NA,438.928645445275,NA,NA,249.57199462149,NA,NA,258.251310702768,702.745466241525,281.343570649916,249.57199462149
"TCGA.BG.A0MO",NA,161.867000457311,NA,NA,1991.00528609773,3.29999204296374,NA,1597.29981450073,NA,NA,NA,1456.48160358569,686.416246974744,1597.29981450073
"TCGA.D1.A17R",NA,47.0311705577389,NA,NA,NA,39.9280898657772,54.3897594209053,1026.08123343379,NA,79.0657101740576,83.7985664843888,1937.1922612133,304.247600880661,1026.08123343379
"TCGA.EY.A54A",257.46945594954,46.1252862053643,87.2683073802792,NA,NA,19.1370874765138,NA,NA,NA,110.226080600739,2566.82357889365,4397.70300078875,1014.96696346005,0
"TCGA.FI.A2D6",80.1639624530025,141.554642015694,NA,NA,1407.46167963488,NA,NA,744.929865165383,NA,NA,137.289617790925,1683.28412173093,876.126448990387,744.929865165383
"TCGA.AX.A2HG",263.844465835402,123.024308335973,79.2717525163583,NA,NA,66.4023322091222,306.53479260474,NA,NA,251.505229308556,3951.10819655844,14724.5424412996,NA,0
"TCGA.BS.A0TC",47.545196994831,30.3370830323756,26.7457114949353,NA,1303.03075089878,NA,NA,NA,NA,NA,662.047975284372,1246.2529328366,1267.86875404702,0
"TCGA.D1.A3DH",47.0462892754917,96.7569372196107,NA,NA,NA,37.2129738363213,74.0909950267222,1604.57126086516,NA,119.640571981343,NA,2064.73451658382,178.642531776604,1604.57126086516
"TCGA.D1.A17D",134.647608703244,9.96169118502587,207.913045142784,NA,562.206993393604,65.6862849577106,NA,NA,NA,NA,780.22584135804,1670.64557809958,690.753297518101,0
"TCGA.D1.A16Q",134.783302564634,51.2119138966366,4.872933668952,NA,218.640895857035,NA,NA,NA,NA,NA,980.060654358643,1944.99288818411,507.816551787545,0
"TCGA.B5.A1MZ",41.3655819539977,48.9105463684452,NA,NA,421.268060502635,NA,NA,419.806346934871,NA,2.44108763151285,556.765250894376,2274.01773191912,692.858726438663,419.806346934871
"TCGA.A5.A2K2",768.594163768308,412.252382680027,NA,40.3600278532471,NA,NA,106.836427516051,2274.71304875781,NA,162.4080539486,3791.61396440227,11076.705144264,NA,2274.71304875781
"TCGA.5S.A9Q8",52.1113815315779,159.472186242414,NA,NA,NA,123.913432559469,141.249747716098,2478.16040420237,NA,171.502269118347,NA,3054.90993022707,64.0795852964319,2478.16040420237
"TCGA.AX.A05W",82.155506106895,37.1368699949968,33.5504429615408,NA,559.04315143159,27.1980528161729,NA,NA,NA,NA,719.419598577137,1449.07335188231,763.137881001499,0
"TCGA.AJ.A3IA",339.455789566192,8.89296004236092,831.359539189116,NA,NA,529.315749898526,NA,NA,NA,37.2978312687033,1716.33583608472,4917.77725032288,740.907055207671,0
"TCGA.D1.A16V",58.6471992337958,45.5843673709745,43.113244841061,NA,1271.62465867813,38.7559709855912,NA,NA,NA,NA,637.076914710579,1450.93053436056,1177.14025315024,0
"TCGA.AX.A3FT",298.020836671962,40.8585648522587,1.54616836833243,NA,265.946074336709,NA,NA,NA,NA,NA,2307.69882403863,3550.00838822181,675.698177733503,0
"TCGA.BG.A0M0",102.788700307667,82.2478252995413,NA,NA,NA,30.9480582114343,54.4432043154018,1371.79694246593,NA,69.6315710249796,574.870888717235,2020.13091599366,NA,1371.79694246593
