"","Signature_1","Signature_13","Signature_17a","Signature_17b","Signature_18","Signature_2","Signature_3","Signature_30","Signature_34","Signature_41","Signature_5","Signature_8","Signature_85","df.extra"
"TCGA.AR.A24Q",149.879468678322,NA,135.754411841761,48.3361259731528,NA,110.902269692521,1935.83287059462,NA,NA,NA,2124.50237609558,NA,893.410615867085,1935.83287059462
"TCGA.D8.A1XV",512.675273199574,NA,67.2574902454684,NA,1184.62863739267,NA,768.599322694151,255.687683364083,NA,NA,4926.45850603329,567.530837666332,421.689926745938,768.599322694151
"TCGA.EW.A6SD",99.8744970966431,229.341646645204,73.1533608045147,NA,207.637079129012,157.587309487533,NA,NA,NA,NA,3558.98456330476,682.806068780995,512.858510457853,0
"TCGA.OL.A6VQ",77.3912853706067,NA,16.7683596854515,NA,439.253680100929,14.0265136194922,755.549662327838,NA,NA,NA,740.329821285182,61.1548287052465,28.6085637731123,755.549662327838
"TCGA.E2.A15R",182.280523485492,234.208155393069,105.199688438107,NA,NA,72.6320575254913,604.554775867697,NA,NA,NA,10393.325147605,547.516002145792,2507.71874852963,604.554775867697
"TCGA.E9.A1NA",518.376788098614,NA,80.2162469137879,NA,307.314402049881,NA,133.083149631844,NA,NA,126.03119183958,3759.13614096886,727.635443979129,57.7948681340852,133.083149631844
"TCGA.S3.AA11",107.002622108056,NA,117.194504952492,10.1764999345826,NA,62.3954795973021,1123.04462730095,NA,NA,NA,2966.1793501556,61.5505409827622,635.825501869425,1123.04462730095
"TCGA.D8.A1JP",118.725519816826,1413.97553850047,NA,NA,489.810872308743,994.89433116856,721.375357726077,NA,NA,NA,2818.48129020025,459.027795887883,519.275461871045,721.375357726077
"TCGA.A2.A259",65.8906954509034,29.0467393539908,NA,NA,179.727058265078,NA,58.3286744145288,193.923050728989,524.904693950204,NA,NA,385.800630907117,2694.41950077391,58.3286744145288
"TCGA.A8.A09T",200.392520683975,NA,224.677457404611,138.825928812387,457.471714152221,242.923439240554,4339.41377651399,NA,NA,NA,275.997250172191,NA,803.307338731147,4339.41377651399
"TCGA.AC.A2FG",149.371223566783,78.8518286005384,59.4719177809364,NA,560.274395642377,NA,582.972937896256,NA,NA,NA,2314.0250913164,491.665719352731,271.411134154684,582.972937896256
"TCGA.A2.A0CR",345.764355953606,NA,307.695979160921,NA,95.7757712024586,61.6489730319051,2960.52989233644,NA,NA,NA,4575.85246493934,366.496906043907,974.341652175846,2960.52989233644
"TCGA.D8.A1XL",105.883318746503,NA,32.0829500939458,NA,432.644204794386,96.8710705027312,337.003908183063,59.8128021447973,NA,NA,1691.22753847741,552.301378260548,NA,337.003908183063
"TCGA.BH.A0EI",228.752694927134,131.626982765745,69.0377702057313,NA,NA,88.2814618198397,605.615255062381,NA,NA,NA,5838.63812635148,796.016670815051,1117.70753795086,605.615255062381
"TCGA.BH.A0BM",115.903026184352,NA,190.138490991686,NA,211.774252955984,144.40789579071,2516.30035184694,NA,NA,278.13282353462,2185.30913666548,NA,875.752040352113,2516.30035184694
"TCGA.D8.A1JG",171.510403954433,NA,168.541118609689,NA,137.568423215408,107.624082305242,2893.52393378068,NA,NA,NA,3069.68467110996,298.776390263239,948.347780388087,2893.52393378068
"TCGA.B6.A0RM",307.97786168968,NA,80.382593937261,82.989925764806,384.967366005145,171.218567135508,2764.21675422758,NA,NA,NA,1524.90411847398,NA,584.570770702674,2764.21675422758
"TCGA.BH.A0BZ",118.265192388426,NA,101.057484512371,NA,1067.09910767589,33.3181766535617,1443.09703134572,NA,NA,NA,2042.47183076806,372.486039250299,175.006208370168,1443.09703134572
"TCGA.E9.A22A",55.2033591558706,NA,114.0096798452,NA,110.632160889414,79.9493927557575,1352.20615922431,NA,NA,94.5092527155773,2470.95580366037,NA,686.215292997055,1352.20615922431
"TCGA.BH.A1FE",37.9320894378602,NA,86.4597295610147,16.2968085075376,NA,76.6505283514972,1163.98614054875,NA,NA,NA,1795.3913096509,156.2682583075,800.047044826903,1163.98614054875
"TCGA.A8.A0A2",94.9182664743877,NA,58.8832998706406,0.819702977716409,473.359640739989,NA,609.018893748633,NA,NA,NA,1560.84329906512,207.343400495013,121.669898964898,609.018893748633
"TCGA.AO.A128",363.026176855814,62.3685972308777,88.5107879455731,NA,569.861124931107,58.7803992941755,2176.63481009641,NA,NA,NA,6074.51060594781,NA,1071.37600787576,2176.63481009641
"TCGA.AC.A3HN",80.3847785275916,42.0788783715554,NA,NA,301.569813540756,133.102414317898,591.256106394374,NA,NA,NA,1351.03181075006,487.431466266173,181.573939046086,591.256106394374
"TCGA.EW.A1J2",487.962803323836,NA,92.874469417101,NA,776.369255124664,NA,710.377436936711,NA,NA,NA,3385.85715012772,244.926287739372,116.614992147129,710.377436936711
"TCGA.A2.A0CL",50.1531127037078,NA,49.4702465486342,NA,102.5065655677,36.8571365626298,630.363045158181,26.9109295201178,NA,NA,473.917697719939,NA,174.02559829733,630.363045158181
"TCGA.A8.A08J",94.3395320928659,35.1130716090125,55.0399309040233,NA,728.783683154539,NA,141.990569716817,NA,NA,NA,1868.1855725125,798.958106022961,91.2798314402237,141.990569716817
"TCGA.A2.A0CQ",NA,NA,93.5713219442784,NA,NA,100.607792699097,1389.22656597898,417.177169556435,NA,960.131377878425,2192.5140092219,1282.05895554056,1515.38752311962,1389.22656597898
"TCGA.BH.A0W7",150.989822911029,121.476495068332,NA,NA,25.0217974769234,13.6995298881077,614.364239931336,NA,NA,NA,4914.14312620646,625.357603352637,789.179389976386,614.364239931336
"TCGA.D8.A27W",394.238454582279,126.946317738659,89.3268137440814,NA,129.014929952946,NA,582.407890083711,NA,NA,NA,7089.96901570398,835.449640569746,864.841010859063,582.407890083711
"TCGA.BH.A0HN",139.273139761921,79.792637796167,49.986976370158,NA,595.916473737237,129.572779364559,197.396318468717,NA,NA,NA,1648.83171377647,329.082165010789,NA,197.396318468717
"TCGA.BH.A0H0",362.094251709604,346.669074366805,141.795812576047,NA,412.746441417234,216.99961738963,NA,NA,NA,NA,7770.41690794164,1278.55895344577,1412.05824395344,0
"TCGA.B6.A0IH",NA,NA,160.435907079062,NA,NA,106.590467227542,1705.0050082698,96.2508395092491,NA,420.875706524773,3646.35632795889,718.695488852987,1146.59510035198,1705.0050082698
"TCGA.BH.A0BF",NA,159.417184412023,65.2959416417889,NA,NA,66.1401561388164,NA,352.852139845777,NA,1022.71048965601,2900.84710730558,2081.75197427894,1544.89874673318,0
